neighborhood,id,borough,type,long,lat
Allerton,nyu_2451_34572.299,Bronx,Point,-73.859319,40.865788
Annadale,nyu_2451_34572.216,Staten Island,Point,-74.178549,40.538114
Arden Heights,nyu_2451_34572.242,Staten Island,Point,-74.185887,40.549286
Arlington,nyu_2451_34572.228,Staten Island,Point,-74.165104,40.635325
Arrochar,nyu_2451_34572.229,Staten Island,Point,-74.067124,40.596313
Arverne,nyu_2451_34572.178,Queens,Point,-73.791992,40.589144
Astoria,nyu_2451_34572.130,Queens,Point,-73.915654,40.768509
Astoria Heights,nyu_2451_34572.267,Queens,Point,-73.89468,40.770317
Auburndale,nyu_2451_34572.153,Queens,Point,-73.791762,40.76173
Bath Beach,nyu_2451_34572.80,Brooklyn,Point,-73.998752,40.599519
Battery Park City,nyu_2451_34572.128,Manhattan,Point,-74.016869,40.711932
Bay Ridge,nyu_2451_34572.47,Brooklyn,Point,-74.030621,40.625801
Bay Terrace,nyu_2451_34572.176,Queens,Point,-73.776802,40.782843
Bay Terrace,nyu_2451_34572.236,Staten Island,Point,-74.139166,40.553988
Baychester,nyu_2451_34572.11,Bronx,Point,-73.835798,40.866858
Bayside,nyu_2451_34572.152,Queens,Point,-73.774274,40.766041
Bayswater,nyu_2451_34572.304,Queens,Point,-73.765968,40.611322
Bedford Park,nyu_2451_34572.14,Bronx,Point,-73.885512,40.870185
Bedford Stuyvesant,nyu_2451_34572.64,Brooklyn,Point,-73.941785,40.687232
Beechhurst,nyu_2451_34572.175,Queens,Point,-73.804365,40.792781
Bellaire,nyu_2451_34572.195,Queens,Point,-73.738892,40.733014
Belle Harbor,nyu_2451_34572.191,Queens,Point,-73.854018,40.576156
Bellerose,nyu_2451_34572.157,Queens,Point,-73.720128,40.728573
Belmont,nyu_2451_34572.35,Bronx,Point,-73.888452,40.857277
Bensonhurst,nyu_2451_34572.48,Brooklyn,Point,-73.99518,40.611009
Bergen Beach,nyu_2451_34572.92,Brooklyn,Point,-73.898556,40.61515
Blissville,nyu_2451_34572.279,Queens,Point,-73.932442,40.737251
Bloomfield,nyu_2451_34572.246,Staten Island,Point,-74.187256,40.605779
Boerum Hill,nyu_2451_34572.88,Brooklyn,Point,-73.983748,40.685683
Borough Park,nyu_2451_34572.81,Brooklyn,Point,-73.990498,40.633131
Breezy Point,nyu_2451_34572.173,Queens,Point,-73.925512,40.557401
Briarwood,nyu_2451_34572.160,Queens,Point,-73.811748,40.710935
Brighton Beach,nyu_2451_34572.52,Brooklyn,Point,-73.965094,40.576825
Broad Channel,nyu_2451_34572.172,Queens,Point,-73.820055,40.603027
Broadway Junction,nyu_2451_34572.283,Brooklyn,Point,-73.903317,40.677861
Bronxdale,nyu_2451_34572.298,Bronx,Point,-73.861726,40.852723
Brooklyn Heights,nyu_2451_34572.65,Brooklyn,Point,-73.993782,40.695864
Brookville,nyu_2451_34572.194,Queens,Point,-73.751753,40.660003
Brownsville,nyu_2451_34572.61,Brooklyn,Point,-73.910235,40.66395
Bulls Head,nyu_2451_34572.247,Staten Island,Point,-74.159409,40.609592
Bushwick,nyu_2451_34572.63,Brooklyn,Point,-73.925258,40.698116
Butler Manor,nyu_2451_34572.239,Staten Island,Point,-74.229504,40.506082
Cambria Heights,nyu_2451_34572.169,Queens,Point,-73.735269,40.692775
Canarsie,nyu_2451_34572.75,Brooklyn,Point,-73.902093,40.635564
Carnegie Hill,nyu_2451_34572.248,Manhattan,Point,-73.953256,40.782683
Carroll Gardens,nyu_2451_34572.67,Brooklyn,Point,-73.994654,40.68054
Castle Hill,nyu_2451_34572.41,Bronx,Point,-73.848027,40.819014
Castleton Corners,nyu_2451_34572.209,Staten Island,Point,-74.119181,40.613336
Central Harlem,nyu_2451_34572.106,Manhattan,Point,-73.943211,40.815976
Charleston,nyu_2451_34572.240,Staten Island,Point,-74.232158,40.530531
Chelsea,nyu_2451_34572.117,Manhattan,Point,-74.003116,40.744035
Chelsea,nyu_2451_34572.245,Staten Island,Point,-74.18956,40.594726
Chinatown,nyu_2451_34572.101,Manhattan,Point,-73.994279,40.715618
City Island,nyu_2451_34572.13,Bronx,Point,-73.786488,40.847247
City Line,nyu_2451_34572.91,Brooklyn,Point,-73.867976,40.67857
