borough,neighborhood,latitude,longitude,studio_2021,br_1_2021,br_2_2021,school,hospital,no_of_restaurant,bank,criminal_rate,population_2020
Bronx,Allerton,40.86578788,-73.85931863,1450,1625,1800,1,0,13,0,2704,34623
Staten Island,Annadale,40.53811417,-74.17854866,1305,1450,1595,1,0,23,1,173,10133
Staten Island,Arden Heights,40.54928582,-74.18588675,1822,2025,2250,1,0,7,1,238,15341
Staten Island,Arlington,40.6353251,-74.1651042,2895,3295,3350,1,1,12,0,959,11164
Staten Island,Arrochar,40.59631257,-74.06712363,1732,1925,2117,1,1,33,1,433,9064
Queens,Arverne,40.58914394,-73.79199233,2414,2683,2951,1,0,15,1,1033,13789
Queens,Astoria,40.76850859,-73.91565374,1575,1875,2200,1,1,50,1,3061,38673
Queens,Astoria Heights,40.77031739,-73.89467996,2116,2150,2450,1,1,41,1,675,25112
Queens,Auburndale,40.76172955,-73.79176244,1795,1780,2175,1,1,48,1,642,36182
Brooklyn,Bath Beach,40.5995187,-73.99875221,3000,1575,1825,1,1,35,1,1832,33070
Manhattan,Battery Park City,40.71193198,-74.01686931,2200,2733,4431,1,1,43,1,3336,26496
Brooklyn,Bay Ridge,40.62580107,-74.03062069,2038,1750,2109,1,1,50,1,1783,86779
Queens,Bay Terrace,40.78284281,-73.77680223,1950,1825,2600,1,1,22,1,215,11643
Staten Island,Bay Terrace,40.55398801,-74.13916622,1822,2025,2250,1,0,8,1,239,3749
Bronx,Baychester,40.86685811,-73.8357976,1650,1750,2200,1,1,30,1,1382,17245
Queens,Bayside,40.76604063,-73.77427363,1850,1850,2300,1,0,50,1,688,35588
Queens,Bayswater,40.61132169,-73.76596781,1755,1950,2145,1,0,1,0,400,29324
Bronx,Bedford Park,40.87018517,-73.88551218,1413,1525,2100,1,1,25,1,3912,55521
Brooklyn,Bedford Stuyvesant,40.68723161,-73.94178489,1650,1975,2200,1,1,50,1,4740,158534
Queens,Beechhurst,40.7927814,-73.80436452,1485,1650,1815,1,0,23,1,246,104934
Manhattan,Beekman/Sutton Place,40.753385,-73.964809,2140,2897,4173,1,0,10,1,3201,14172
Queens,Bellaire,40.73301404,-73.73889199,1119,1244,1368,1,1,44,1,922,24576
Queens,Belle Harbor,40.57615557,-73.8540175,1530,1700,1870,1,0,2,1,149,6033
Queens,Bellerose,40.72857318,-73.72012815,1575,1750,2200,1,0,50,1,383,26566
Bronx,Belmont,40.8572771,-73.88845196,1485,1650,1856,1,1,16,1,6228,35825
Brooklyn,Bensonhurst,40.6110089,-73.99517998,4200,1500,1795,1,1,50,1,2049,104934
Brooklyn,Bergen Beach,40.61514955,-73.89855634,1350,1500,1900,1,0,9,0,92,15651
