borough,neighborhood,latitude,longitude,studio_2021,br_1_2021,br_2_2021,no_of_school,no_of_hospital,no_of_restaurant,no_of_bank,no_of_bar,no_of_busstation,no_of_cafe,criminal_rate,population_2020
Bronx,Allerton,40.865787878,-73.8593186322,1450,1625,1800,1,0,2,0,0,1,0, 2704,34623
Staten Island,Annadale,40.5381141747,-74.1785486617,1305,1450,1595,2,0,3,1,5,0,0, 173,10133
Staten Island,Arden Heights,40.5492858228,-74.1858867458,1822,2025,2250,1,0,1,1,1,0,0, 238,15341
Staten Island,Arlington,40.6353250991,-74.1651042024,2895,3295,3350,1,1,2,0,0,0,0, 959,11164
Staten Island,Arrochar,40.5963125713,-74.0671236323,1732,1925,2117,2,0,4,1,2,0,1, 433,9064
Queens,Arverne,40.5891439437,-73.7919923314,2414,2683,2951,1,0,2,1,2,0,1, 1033,13789
Queens,Astoria,40.7685085934,-73.915653743,1575,1875,2200,8,2,8,5,50,11,47, 3061,38673
Queens,Astoria Heights,40.770317393,-73.8946799627,2116,2150,2450,1,1,5,1,3,7,0, 675,25112
Queens,Auburndale,40.761729549,-73.7917624373,1795,1780,2175,5,1,5,2,26,2,12, 642,36182
Brooklyn,Bath Beach,40.5995187028,-73.9987522144,3000,1575,1825,4,1,4,1,14,6,4, 1832,33070
Manhattan,Battery Park City,40.7119319839,-74.0168693051,2200,2733,4431,4,2,5,4,39,10,39, 3336,26496
Brooklyn,Bay Ridge,40.625801065,-74.0306206935,2038,1750,2109,8,1,8,3,50,5,22, 1783,86779
Queens,Bay Terrace,40.7828428062,-73.7768022262,1950,1825,2600,2,1,3,1,2,6,3, 215,11643
Staten Island,Bay Terrace,40.5539880086,-74.1391662218,1822,2025,2250,1,0,1,1,0,0,0, 239,3749
Bronx,Baychester,40.8668581073,-73.8357975981,1650,1750,2200,2,1,4,1,2,4,1, 1382,17245
Queens,Bayside,40.7660406328,-73.7742736307,1850,1850,2300,8,0,8,2,26,6,10, 688,35588
Queens,Bayswater,40.6113216913,-73.7659678145,1755,1950,2145,1,0,1,0,0,0,0, 400,29324
Bronx,Bedford Park,40.870185165,-73.8855121842,1413,1525,2100,5,0,3,1,5,7,5, 3912,55521
Brooklyn,Bedford Stuyvesant,40.6872316077,-73.9417848869,1650,1975,2200,5,0,8,1,40,9,16, 4740,158534
Queens,Beechhurst,40.7927814036,-73.8043645172,1485,1650,1815,1,0,3,1,0,1,0, 246,104934
Manhattan,Beekman/Sutton Place,40.753385,-73.964809,2140,2897,4173,2,0,2,1,10,0,4, 3201,14172
Queens,Bellaire,40.7330140403,-73.7388919891,1119,1244,1368,2,0,5,1,3,7,1, 922,24576
